[2026-05-24 19:45:21] INFO django.utils.autoreload autoreload:681 — Watching for file changes with StatReloader
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:342 — Waiting for apps ready_event.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:354 — Apps ready_event triggered. Sending autoreload_started signal.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\tailwind\templates with glob **/*.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\theme\templates with glob **/*.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\primer_analyzer\templates with glob **/*.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\locale with glob **/*.mo.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\tailwind\locale with glob **/*.mo.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\theme\locale with glob **/*.mo.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django_browser_reload\locale with glob **/*.mo.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\primer_analyzer\locale with glob **/*.mo.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\contrib\admin\static with glob **/*.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\theme\static with glob **/*.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:308 — Watching dir C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django_browser_reload\static with glob **/*.
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\email\charset.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\sqlite3\dbapi2.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\email\base64mime.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\_weakrefset.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1779617753.2376904
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1779617778.6934893
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\_compat_pickle.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1779617781.0971222
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1779617780.790976
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\token.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1779617781.465871
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\email\_policybase.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1779617781.4368825
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\email\__init__.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\__future__.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\asyncio\timeouts.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\importlib\__init__.py first seen with mtime 1748955274.0
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1779617781.4250858
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1779617781.4203572
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1779617771.9097407
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\template\utils.py first seen with mtime 1779617781.4338827
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1779617773.1669786
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Users\soash\Desktop\4-2-Project\mira_primer_analysis_tool\venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1779617781.4846015
[2026-05-24 19:45:21] DEBUG django.utils.autoreload autoreload:406 — File C:\Python313\Lib\concurrent\futures\_base.py first seen with mtime 1748955274.0
